master;target;(n)related
31599;32122;N
31602;31445;N
31663;28462;R
31800;32280;N
31874;35934;N
31957;31763;N
32112;31955;N
32112;34385;N
32167;31254;N
32280;35313;N
32295;34698;N
32410;33880;N
32410;34553;N
32469;30829;N
32493;29061;N
32497;29448;N
32516;32416;N
32518;31200;N
32681;31975;N
32690;30233;N
32690;29492;N
32741;31976;N
32824;31026;N
32824;32112;R
32875;28504;R
32875;33269;N
32917;33856;N
32956;32269;N
33021;30080;N
33060;32512;R
33064;31976;N
33064;32690;N
33133;33104;R
33269;28504;N
33292;32341;N
33304;35450;N
33309;33939;N
33344;34995;N
33631;28462;N
33635;31657;N
33656;30919;N
33657;32112;N
33669;29492;N
33674;28503;N
33723;33847;N
33815;30124;N
33815;30003;N
33938;32824;N
34046;26715;N
34219;33693;N
34248;30927;N
34385;33657;N
34385;30701;R
34407;27706;N
34444;33635;N
34714;26523;N
34741;31472;N
34916;32367;N
34944;29343;N
35229;18983;N
35239;33856;N
35313;33856;N
35313;30701;N
35471;33524;N
35508;30782;N
35534;31715;N
35568;34436;N
35620;30039;N
35620;35313;R
35624;35239;N
35624;35313;N
35631;34697;N
35631;31602;N
35651;36154;N
35921;35335;N
35926;33741;N
35945;30840;N
35970;27950;N
35996;34441;R
35997;31784;N
36095;31349;N
36105;32484;N
36155;32935;N
36220;36175;N
36321;30779;N
36357;26869;N
36438;35239;N
36449;25993;N
36519;26523;N
36529;36406;N
36608;17914;N
31459;36193;N
11607;29233;N
32518;34452;N
36148;28462;N
30124;34385;N
31248;34697;N
29111;34865;N
34385;35313;N
31587;34613;R
35313;36154;N
33723;33938;N
30003;33841;N
32690;33841;N
34916;35620;N
33657;36154;N
33064;33841;N
30003;33856;N
